author	consortium	pmid	publication_date	trait	efo	analysis	source	outcome	exposure	covariates	outcome_unit	exposure_unit	array	tissue	further_details	n	n_studies	categories	age	n_males	n_females	n_eur	n_eas	n_sas	n_afr	n_amr	n_oth	id
Lin X		28264723	2017-03-07	Birth weight	EFO_0004344		Table 3	Birth weight	DNA methylation	Offspring sex, gestational age, ethnicity and cell counts	g	Beta values	Illumina HumanMethylation450	Cord blood	Birth weight was log-transformed	987	1		0	517	470	0	817	170	0	0	0	28264723_birth_weight
Morris JA		28394087	2017-05-08	Femoral neck bone mineral density	EFO_0007785	Discovery	Table 2	DNA methylation	Femoral neck bone mineral density	Age, sex, smoking, weight, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		4614	5			1382	3232	4614						28394087_femoral_neck_bone_mineral_density_discovery
Morris JA		28394087	2017-05-08	Femoral neck bone mineral density	EFO_0007785	Discovery and replication	Table 2	DNA methylation	Femoral neck bone mineral density	Age, sex, smoking, weight, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		5515	6			1835	3680	5515						28394087_femoral_neck_bone_mineral_density_discovery_and_replication
Morris JA		28394087	2017-05-08	Femoral neck bone mineral density	EFO_0007785	Discovery and replication females only	Table 2	DNA methylation	Femoral neck bone mineral density	Age, smoking, weight, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		3680	6				3680	3680						28394087_femoral_neck_bone_mineral_density_discovery_and_replication_females_only
Morris JA		28394087	2017-05-08	Femoral neck bone mineral density	EFO_0007785	Discovery females only	Table 2	DNA methylation	Femoral neck bone mineral density	Age, smoking, weight, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		3232	5				3232	3232						28394087_femoral_neck_bone_mineral_density_discovery_females_only
Morris JA		28394087	2017-05-08	Femoral neck bone mineral density	EFO_0007785	Replication	Table 2	DNA methylation	Femoral neck bone mineral density	Age, sex, smoking, weight, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		901	1			453	448	901						28394087_femoral_neck_bone_mineral_density_replication
Morris JA		28394087	2017-05-08	Femoral neck bone mineral density	EFO_0007785	Replication females only	Table 2	DNA methylation	Femoral neck bone mineral density	Age, weight, smoking, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		448	1				448	448						28394087_femoral_neck_bone_mineral_density_replication_females_only
Aslibekyan S		28439531	2017-03-05	trimethylamine-N-oxide	EFO_0005691		Table 2	DNA methylation	trimethylamine-N-oxide	Age, sex and technical covariates	Beta values	micromolar	Illumina HumanMethylation450	CD4+ T-cells		847	1		49	434	413							28439531_trimethylaminenoxide
Julia A		28475762	2017-05-05	Rheumatoid arthritis	EFO_0000685	Discovery	Table S1	DNA methylation	Rheumatoid arthritis	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	B cells		122	1	49 cases, 73 controls	54	23	99							28475762_rheumatoid_arthritis_discovery
Julia A		28475762	2017-05-05	Rheumatoid arthritis	EFO_0000685	Discovery and replication	Table 3	DNA methylation	Rheumatoid arthritis	Age, sex and technical covariates	Beta values		Illumina HumanMethylation450	B cells		179	3	77 cases, 102 controls	54	33	146							28475762_rheumatoid_arthritis_discovery_and_replication
Nakatochi M		28515798	2017-05-15	Myocardial infarction	EFO_0000612		Table 2	DNA methylation	Myocardial infarction	Age, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		382	1	191 cases, 191 controls	66	382	0							28515798_myocardial_infarction
Nakatochi M		28515798	2017-01-10	Myocardial infarction	EFO_0000612	Model 2	Table 2	DNA methylation	Myocardial infarction	Age, smoking, body mass index, history of diabetes, history of hypertension, history of hyperlipidemia, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		382	1	191 cases, 191 controls	66	382	0							28515798_myocardial_infarction_model_2
Ek WE		28535255	2017-05-23	Tea consumption			Table 2	DNA methylation	Tea consumption	Age, sex, cell counts and technical covariates	Beta values	cups/month	Illumina HumanMethylation450	Whole blood		1697	4		58	0	1697							28535255_tea_consumption_metaanalysis
Emeny RT		28540928	2017-05-25	Severe vs no or minimal anxiety	EFO_0005230		Table 2	DNA methylation	Severe anxiety	Age, sex, cell counts and technical covariates	M values		Illumina HumanMethylation450	Whole blood		1522	1	961 No or minimal anxiety, 22 severe anxiety	58.6	734	788							28540928_severe_vs_no_or_minimal_anxiety
Alvizi L		28550290	2017-05-26	Non-syndromic cleft lip and palate	EFO_0003959, HP_0000175	Discovery	Table S1	Non-syndromic cleft lip and palate	DNA methylation	Age, sex, cell counts and technical covariates		Beta values	Illumina HumanMethylation450	Whole blood		126	1	67 cases, 59 controls	6	65	61	88					38	28550290_nonsyndromic_cleft_lip_and_palate_discovery
Soloman O		28556291	2017-01-09	Prenatal phthalate exposure	CHEBI_26092	13 weeks gestation	Table S2	DNA methylation	Prenatal phthalate exposure	Pre-pregnancy body mass index, parity, years in USA, creatinine, cell counts and technical covariates	M values	mug/l	Illumina HumanMethylation450	Cord blood	Regression coefficients are per 10-fold increase in phthalate	321	1		0	165	156					321		28556291_prenatal_phthalate_exposure_13_weeks_gestation
Soloman O		28556291	2017-01-09	Prenatal phthalate exposure	CHEBI_26092	26 weeks gestation	Table S2	DNA methylation	Prenatal phthalate exposure	Pre-pregnancy body mass index, parity, years in USA, creatinine, cell counts and technical covariates	M values	mug/l	Illumina HumanMethylation450	Cord blood	Regression coefficients are per 10-fold increase in phthalate	332	1		0	171	161					332		28556291_prenatal_phthalate_exposure_26_weeks_gestation
Soloman O		28556291	2017-01-09	Prenatal phthalate exposure	CHEBI_26092	Average of measurements at 13 weeks and 26 weeks gestation	Table S2	DNA methylation	Prenatal phthalate exposure	Pre-pregnancy body mass index, parity, years in USA, creatinine, cell counts and technical covariates	M values	mug/l	Illumina HumanMethylation450	Cord blood	Regression coefficients are per 10-fold increase in phthalate	336	1		0	173	163					336		28556291_prenatal_phthalate_exposure_average_of_measurements_at_13_weeks_and_26_weeks_gestation
Kaushal A		28558807	2017-05-30	Utero arsenic exposure	EFO_0004880	Discovery	Additional file 6	DNA methylation	Maternal urinary arsenic level	Offspring sex, urinary creatinine, maternal age, maternal pre-pregnancy body mass index, maternal education, cell counts and technical covariates	M values		Illumina HumanMethylation450	Cord blood		64	1		0	38	26		64					28558807_utero_arsenic_exposure_discovery
Kaushal A		28558807	2017-05-30	Utero arsenic exposure	EFO_0004880	Replication	Additional file 6	DNA methylation	Maternal urinary arsenic level	Offspring sex, urinary creatinine, maternal age, maternal pre-pregnancy body mass index, maternal education, white blood cell counts and technical covariates	M values		Illumina HumanMethylation450	Cord blood		109	1		0	55	54	109						28558807_utero_arsenic_exposure_replication
Cecil CAM		28595673	2017-06-09	Early-onset conduct problems	EFO_0004216		Table 1	DNA methylation	Early-onset conduct problems	Sex and cell counts	Beta values		Illumina HumanMethylation450	Cord blood		260	1	174 early-onset conduct problems, 86 low conduct problems	0	130	130							28595673_earlyonset_conduct_problems
Sharp GC		28603561	2017-06-08	Cleft lip vs cleft lip palate	EFO_0003959, HP_0000175		Additional file 3	DNA methylation	Cleft lip vs cleft lip palate	Sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		98	1	49 cleft lip only, 49 cleft lip palate	0	70	27	94					4	28603561_cleft_lip_vs_cleft_lip_palate
Sharp GC		28603561	2017-06-08	Cleft palate vs cleft lip	EFO_0003959, HP_0000175		Additional file 5	DNA methylation	Cleft palate vs cleft lip	Sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		98	1	49 cleft palate only, 49 cleft lip only	0	55	42	93					5	28603561_cleft_palate_vs_cleft_lip
Sharp GC		28603561	2017-06-08	Cleft palate vs cleft lip palate	EFO_0003959, HP_0000175		Additional file 4	DNA methylation	Cleft palate vs cleft lip palate	Sex and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood		98	1	49 cleft palate only, 49 cleft lip palate	0	67	31	93					5	28603561_cleft_palate_vs_cleft_lip_palate
Bostrom AE		28618313	2017-10-01	Depression	EFO_0003761, EFO_0007006		Table 2	DNA methylation	Depression	Risk score for any psychiatric disorder, self-reported use of ADHD medication, cell counts and technical covariates	M values		Illumina HumanMethylation450	Whole blood		93	1	22 depressed, 21 depression, 50 controls	15.6	19	74	93						28618313_depression
Lee MK		28621160	2017-06-16	FEV1/FVC	EFO_0004713		Table 2	FEV1/FVC	DNA methylation	Age, sex, smoking, smoking pack-years, height and cell counts		Beta values	Illumina HumanMethylation450	Blood		100	1		72.8	66	34		100					28621160_fev1fvc
Lee MK		28621160	2017-06-16	Forced expiratory volume	EFO_0004314		Table 2	Forced expiratory volume	DNA methylation	Age, sex, smoking, smoking pack-years, height and cell counts		Beta values	Illumina HumanMethylation450	Blood		100	1		72.8	66	34		100					28621160_forced_expiratory_volume
Lee MK		28621160	2017-06-16	Forced vital capacity	EFO_0004312		Table 2	Forced vital capacity	DNA methylation	Age, sex, smoking, smoking pack-years, height, weight and cell counts		Beta values	Illumina HumanMethylation450	Blood		100	1		72.8	66	34		100					28621160_forced_vital_capacity
Nano J		28624579	2017-06-15	Alanine aminotransferase	EFO_0004735	Discovery	Table 2	DNA methylation	Alanine aminotransferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		731	1		59.6	336	395	731						28624579_alanine_aminotransferase_discovery
Nano J		28624579	2017-06-15	Alanine aminotransferase	EFO_0004735	Meta-analysis	Table S2	DNA methylation	Alanine aminotransferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		1450	2		63.5	618	832	1450						28624579_alanine_aminotransferase_metaanalysis
Nano J		28624579	2017-06-15	Alanine aminotransferase	EFO_0004735	Replication	Table 2	DNA methylation	Alanine aminotransferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		719	1		67.5	282	437	719						28624579_alanine_aminotransferase_replication
Nano J		28624579	2017-06-15	Aspartate aminotransferase	EFO_0004736	Meta-analysis	Table S2	DNA methylation	Aspartate aminotransferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		1450	2		63.5	618	832	1450						28624579_aspartate_aminotransferase_metaanalysis
Nano J		28624579	2017-06-15	Gamma-glutamyl transferase	EFO_0004532	Discovery	Table 2	DNA methylation	Gamma-glutamyl transferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		731	1		59.6	336	395	731						28624579_gammaglutamyl_transferase_discovery
Nano J		28624579	2017-06-15	Gamma-glutamyl transferase	EFO_0004532	Meta-analysis	Table S2	DNA methylation	Gamma-glutamyl transferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		1450	2		63.5	618	832	1450						28624579_gammaglutamyl_transferase_metaanalysis
Nano J		28624579	2017-06-15	Gamma-glutamyl transferase	EFO_0004532	Replication	Table 2	DNA methylation	Gamma-glutamyl transferase	Age, sex, cell counts and technical covariates	Beta values		Illumina HumanMethylation450	Peripheral blood		719	1		67.5	282	437	719						28624579_gammaglutamyl_transferase_replication
Kuan PF		28654093	2017-07-27	Major depressive disorder	EFO_0007634		Table 3	DNA methylation	Major depressive disorder	Age, smoking, ethnicity and cell counts	M values		Illumina HumanMethylation450	Whole blood		398	1	116 major depressive disorder cases, 282 controls	50	398		324					74	28654093_major_depressive_disorder
Kuan PF		28654093	2017-07-27	Major depressive disorder	EFO_0007634	Adjusted for dust cloud exposure	Table S2	DNA methylation	Major depressive disorder	Age, smoking, ethnicity, dust cloud exposure and cell counts	M values		Illumina HumanMethylation450	Whole blood		398	1	116 major depressive disorder cases, 282 controls	50	398		324					74	28654093_major_depressive_disorder_adjusted_for_dust_cloud_exposure
Kuan PF		28654093	2017-07-27	Post-traumatic stress disorder	EFO_0001358		Table 3	DNA methylation	Post-traumatic stress disorder	Age, smoking, ethnicity and cell counts	M values		Illumina HumanMethylation450	Whole blood		373	1	171 post-traumatic stress disorder cases, 202 controls	50	373		304					69	28654093_posttraumatic_stress_disorder
Kuan PF		28654093	2017-07-27	Post-traumatic stress disorder	EFO_0001358	Adjusted for dust cloud exposure	Table S2	DNA methylation	Post-traumatic stress disorder	Age, smoking, ethnicity, dust cloud exposure and cell counts	M values		Illumina HumanMethylation450	Whole blood		373	1	171 post-traumatic stress disorder cases, 202 controls	50	373		304					69	28654093_posttraumatic_stress_disorder_adjusted_for_dust_cloud_exposure
Dogan MV		28686328	2017-07-07	Smoking	EFO_0006527, EFO_0005671, EFO_0004318		Table S1	DNA methylation	Smoking	Age, sex and technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		1597	1	121 smokers, 1476 non-smokers	67	720	877	1597						28686328_smoking
Johnson KC		28693600	2017-07-10	Age	EFO_0000246		Additional file 3	DNA methylation	Age	Body mass index, parity and cell counts	M values	years	Illumina HumanMethylation450	Breast		100	1		37.2		100	86			5	9		28693600_age
Nicodemus-Johnson J		28708104	2017-07-14	Fruit consumption			Table S4	DNA methylation	Fruit consumption	Technical covariates	M values		Illumina HumanMethylation450	Peripheral blood	Regression coefficients given in log-fold-change	2148	1		65	979	1169	2148						28708104_fruit_consumption
Nicodemus-Johnson J		28708104	2017-07-14	Juice consumption			Table S5	DNA methylation	Juice consumption	Technical covariates	M values		Illumina HumanMethylation450	Peripheral blood		2148	1		65	979	1169	2148						28708104_juice_consumption
Gervin K		28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus controls	Table S1	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus controls	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values		Illumina HumanMethylation450	Cord blood		115	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 96 controls	0	66	49	115						28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_controls
Gervin K		28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus sporadic prenatal exposure to paracetamol	Table S2	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus sporadic prenatal exposure to paracetamol in children with ADHD	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values		Illumina HumanMethylation450	Cord blood		96	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 77 sporadic prenatal exposure to paracetamol in children with ADHD	0	71	25	96						28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_sporadic_prenatal_exposure_to_paracetamol
Gervin K		28785368	2017-08-02	Attention deficit hyperactivity disorder	EFO_0003888	Long-term prenatal exposure to paracetamol versus unexposed to paracetamol	Table S3	DNA methylation	Long-term prenatal exposure to paracetamol in children with ADHD versus unexposed to paracetamol in children with ADHD	Sex, smoking, maternal age, gestational age, cell counts and technical covariates	M values		Illumina HumanMethylation450	Cord blood		115	1	19 long-term prenatal exposure to paracetamol in children with ADHD, 96 unexposed to paracetamol in children with ADHD	0	80	35	115						28785368_attention_deficit_hyperactivity_disorder_longterm_prenatal_exposure_to_paracetamol_versus_unexposed_to_paracetamol
Serpeloni F		28809857	2017-08-15	Grandmaternal exposure to community and domestic violence			Table 2	DNA methylation	Grandmaternal exposure to community and domestic violence	Age, sex and grandmaternal exposure to intimate partner violence	M values		Illumina HumanMethylation450	Saliva		121	1		13.6	56	65					121		28809857_grandmaternal_exposure_to_community_and_domestic_violence
Serpeloni F		28809857	2017-08-15	Grandmaternal exposure to intimate partner violence			Table 2	DNA methylation	Grandmaternal exposure to intimate partner violence	Age, sex and grandmaternal exposure to community and domestic violence	M values		Illumina HumanMethylation450	Saliva		121	1		13.6	56	65					121		28809857_grandmaternal_exposure_to_intimate_partner_violence
Li S		28811542	2017-08-15	Age	EFO_0000246		Table S1	DNA methylation	Age	Cell counts	M values	years	Illumina HumanMethylation450	Whole blood		1366	2		73			1366						28811542_age
Kresovich JK		28814982	2017-08-15	Subscapular skinfold thickness and triceps skinfold thickness ratio	NCIT_C98785, NCIT_C98793	Early childhood	Table S1	Subscapular skinfold thickness and triceps skinfold thickness ratio	DNA methylation	Offspring sex, maternal age, pre-pregnancy body mass index, maternal education, mean folate intake during pregnancy, smoking during pregnancy, gestational weight gain, ethnicity and cell counts		M values	Illumina HumanMethylation450	Cord blood		415	1		3.2	216	199	280			52	21	62	28814982_subscapular_skinfold_thickness_and_triceps_skinfold_thickness_ratio_early_childhood
Kresovich JK		28814982	2017-08-15	Subscapular skinfold thickness and triceps skinfold thickness ratio	NCIT_C98785, NCIT_C98793	Early childhood adjusted for birthweight	Table S1	Subscapular skinfold thickness and triceps skinfold thickness ratio	DNA methylation	Offspring sex, offspring birth weight, maternal age, pre-pregnancy body mass index, maternal education, mean folate intake during pregnancy, smoking during pregnancy, gestational weight gain, ethnicity and cell counts		M values	Illumina HumanMethylation450	Cord blood		415	1		3.2	216	199	280			52	21	62	28814982_subscapular_skinfold_thickness_and_triceps_skinfold_thickness_ratio_early_childhood_adjusted_for_birthweight
Kresovich JK		28814982	2017-08-15	Subscapular skinfold thickness and triceps skinfold thickness ratio	NCIT_C98785, NCIT_C98793	Mid childhood	Table S1	Subscapular skinfold thickness and triceps skinfold thickness ratio	DNA methylation	Offspring sex, maternal age, pre-pregnancy body mass index, maternal education, mean folate intake during pregnancy, smoking during pregnancy, gestational weight gain, ethnicity and cell counts		M values	Illumina HumanMethylation450	Cord blood		402	1		7.7	212	193	271			50	21	60	28814982_subscapular_skinfold_thickness_and_triceps_skinfold_thickness_ratio_mid_childhood
Kresovich JK		28814982	2017-08-15	Subscapular skinfold thickness and triceps skinfold thickness ratio	NCIT_C98785, NCIT_C98793	Mid childhood adjusted for birthweight	Table S1	Subscapular skinfold thickness and triceps skinfold thickness ratio	DNA methylation	Offspring sex, offspring birth weight, maternal age, pre-pregnancy body mass index, maternal education, mean folate intake during pregnancy, smoking during pregnancy, gestational weight gain, ethnicity and cell counts		M values	Illumina HumanMethylation450	Cord blood		402	1		7.7	212	193	271			50	21	60	28814982_subscapular_skinfold_thickness_and_triceps_skinfold_thickness_ratio_mid_childhood_adjusted_for_birthweight
Kresovich JK		28814982	2017-08-15	Subscapular skinfold thickness plus triceps skinfold thickness	NCIT_C98785, NCIT_C98793	Early childhood	Table S1	Subscapular skinfold thickness plus triceps skinfold thickness	DNA methylation	Offspring sex, maternal age, pre-pregnancy body mass index, maternal education, mean folate intake during pregnancy, smoking during pregnancy, gestational weight gain, ethnicity and cell counts	mm	M values	Illumina HumanMethylation450	Cord blood		415	1		3.2	216	199	280			52	21	62	28814982_subscapular_skinfold_thickness_plus_triceps_skinfold_thickness_early_childhood
Kresovich JK		28814982	2017-08-15	Subscapular skinfold thickness plus triceps skinfold thickness	NCIT_C98785, NCIT_C98793	Early childhood adjusted for birthweight	Table S1	Subscapular skinfold thickness plus triceps skinfold thickness	DNA methylation	Offspring sex, offspring birth weight, maternal age, pre-pregnancy body mass index, maternal education, mean folate intake during pregnancy, smoking during pregnancy, gestational weight gain, ethnicity and cell counts	mm	M values	Illumina HumanMethylation450	Cord blood		415	1		3.2	216	199	280			52	21	62	28814982_subscapular_skinfold_thickness_plus_triceps_skinfold_thickness_early_childhood_adjusted_for_birthweight
Karlsson Linner R		29086770	2017-10-31	Educational attainment	EFO_0004784	Adjusted model	Table S1.7b	DNA methylation	Educational attainment	Age, sex, smoking, body mass index, cell counts and technical covariates	Beta values	years of schooling	Illumina HumanMethylation450	Whole blood		10767	27		57	4938	5829							29086770_educational_attainment_adjusted_model
Karlsson Linner R		29086770	2017-10-31	Educational attainment	EFO_0004784	Basic model	Table S1.6b	DNA methylation	Educational attainment	Age, sex, cell counts and technical covariates	Beta values	years of schooling	Illumina HumanMethylation450	Whole blood		10767	27		57	4938	5829							29086770_educational_attainment_basic_model
